"p1.20160322"	"p1.20160401"	"p3.20160322"	"p3.20160401"	"p3.20160714"	"p3.20160811"	"p4.20160322"	"p4.20160401"	"p4.20160415"	"p4.20160713"	"p4.20160727"	"p5.20160322"	"p5.20160415"	"p5.20160715"	"p5.20160817"	"p6.20160322"	"p6.20160415"	"p6.20160701"	"p6.20160726"	"p7.20160322"	"p7.20160415"	"p7.20160713"	"p7.20160729"	"p8.20160720"	"p8.20160825"
"141"	442	3828	9735	4139	705	341	3879	2762	1557	929	1013	32	208	174	268	26	166	86	6	33	45	176	4	68	84
"142"	25	0	0	0	0	0	0	0	0	13	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"143"	84	3599	4203	2645	96	106	1282	799	1083	127	268	39	40	4	21	5	24	0	9	5	7	6	5	37	40
"144"	49	27	189	21	74	10	65	95	39	93	127	3471	6818	858	224	2820	4875	638	173	3510	1237	440	209	741	136
"145"	90	270	703	191	28	43	190	218	93	61	55	4	22	33	10	5	30	9	4	0	15	24	17	27	14
"146"	84	218	1002	314	13	27	453	474	248	12	29	136	143	68	134	39	170	85	4	13	13	73	0	9	242
"147"	320	683	8085	881	276	48	3497	1227	539	142	369	53	42	44	5	0	198	273	222	2	248	11	12	12	20
"148"	33	15	54	28	31	4	0	2	34	5	48	6	9	38	8	3	7	15	16	7	0	5	9	45	21
"149"	39	9	94	10	16	12	58	9	0	0	7	6	0	20	7	0	12	5	2	0	3	0	0	0	0
"150"	172	866	1307	803	162	226	534	815	371	156	234	371	318	154	198	229	308	754	164	296	363	403	361	331	186
"151"	58	1088	694	581	70	2	377	105	331	12	19	25	48	8	26	15	72	25	28	41	7	22	9	25	10
"153"	3171	38506	60348	32670	2883	4715	20299	12991	7951	3765	7495	234	476	602	503	197	911	82	91	122	101	101	49	883	2133
"154"	50	11	35	16	2	43	74	44	29	76	161	2	13	8	50	4	12	2	4	2	0	4	3	2	2
"155"	127	6711	7590	4292	850	799	6185	3507	5505	395	654	96	152	144	198	19	457	19	18	4	10	44	12	9	0
"156"	958	10933	16722	8679	10940	35043	18059	13119	9140	10329	23996	1034	1426	1845	4164	311	2078	13963	1742	116	1004	6975	9022	5928	2941
"157"	36	0	0	6	0	0	2	2	3	0	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0
"158"	26	49	296	82	3	21	85	115	53	21	58	15	23	55	7	38	2	41	2	28	71	204	31	31	44
"159"	517	8953	16402	8218	699	3092	4220	13062	3665	7065	9335	42	69	168	436	7	129	6	18	2	3	41	14	43	47
"160"	18	110	29	110	12	38	8	11	88	7	0	5	0	0	0	5	0	150	6	3	8	790	13	43	15
"161"	148	490	1533	1066	184	519	623	1358	531	753	1134	20	142	59	170	31	130	27	2	7	2	34	0	12	10
"162"	272	5025	6027	3174	374	515	2046	1244	706	461	554	20	26	52	42	12	101	13	8	12	6	4	12	20	68
"163"	30	12	97	56	65	27	20	19	6	8	13	419	429	107	310	214	426	413	112	130	932	191	197	199	64
"164"	133	1646	2433	1042	185	217	729	659	691	171	264	9	50	26	115	0	25	2	2	0	5	17	10	4	43
