"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"197"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Sharpea"
"198"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Unknown"	"Unknown"
"199"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Unknown"	"Unknown"	"Unknown"
"200"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Unknown"	"Unknown"
"201"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Shewanella"
"202"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Unknown"
"203"	"Bacteria"	"Firmicutes"	"Bacilli"	"Unknown"	"Unknown"	"Unknown"
"204"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"205"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"206"	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Unknown"	"Unknown"	"Unknown"
"207"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfobacter"
"208"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Unknown"	"Unknown"	"Unknown"
"209"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Unknown"	"Unknown"
"210"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Unknown"	"Unknown"
"211"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Unknown"
"212"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Aneurinibacillus"
"214"	"Archaea"	"Euryarchaeota"	"Thermococci"	"Thermococcales"	"Thermococcaceae"	"Thermococcus"
"215"	"Bacteria"	"Candidatus Aerophobetes"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"216"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Unknown"	"Unknown"	"Unknown"
"217"	"Bacteria"	"Spirochaetes"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"218"	"Bacteria"	"Tenericutes"	"Unknown"	"Unknown"	"Unknown"	"Candidatus Izimaplasma"
"219"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"220"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Lysinibacillus"
"221"	"Bacteria"	"Candidatus Melainabacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
